journal_clean,year
L'AGEFI,2020
Le Figaro,2019
L'AGEFI,2018
Mesures,2018
La Tribune,2017
Sud Ouest,2019
Aujourd'hui en France,2019
Le Figaro,2019
CLUBIC réf. Clubic,2020
Challenges,2017
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
Yahoo! France réf. Yahoo France,2020
Sud Ouest,2018
Centre Presse Vienne,2019
CLUBIC réf. Clubic,2020
ElectroniqueS,2020
L'Union FranceLaon,2020
Emerce,2017
Aujourd'hui en France,2019
Revue Lamy Droit de l'immatériel,2017
Yahoo! France réf. Yahoo France,2020
Yahoo! France réf. Yahoo France,2020
Sud Ouest,2013
Actu réf. Actu FR,2020
Stratégies,2016
Boursorama réf. Boursorama,2020
Mer et Marine,2017
La Gazette desmunes,2020
Mesures,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
La Revue du Digital réf. La Revue du Digital,2020
Aujourd'hui en France,2018
La Revue du Digital réf. La Revue du Digital,2020
Aujourd'hui en France,2019
Aujourd'hui en France,2018
Le Progrès Lyon,2019
La Revue du Digital réf. La Revue du Digital,2020
Le Figaro,2015
Le Figaro,2017
Point Banque,2017
Le Nouveau Magazine Littéraire,2019
Boursorama réf. Boursorama,2020
ElectroniqueS,2020
L'AGEFI,2020
Yahoo! France réf. Yahoo France,2020
L'AGEFI,2018
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
Le Figaro,2019
Le Figaro,2019
Le Point,2016
WanSquare,2019
Le Figaro,2019
ElectroniqueS,2020
Aujourd'hui en France,2019
La Tribune,2019
Le Monde,2016
Aujourd'hui en France,2018
La Vie,2017
La Provence,2011
La Gazette desmunes,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2019
CLUBIC réf. Clubic,2020
ElectroniqueS,2020
Boursorama réf. Boursorama,2020
FranceTv Info réf. France TV Info,2020
FranceTv Info réf. France TV Info,2020
Ouest France,2016
Revue Lamy Droit de l'immatériel,2020
La Revue du Digital réf. La Revue du Digital,2020
CLUBIC réf. Clubic,2020
L'Équipe,2016
L'AGEFI,2020
L'AGEFI,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2019
L'AGEFI,2018
ElectroniqueS,2018
ElectroniqueS,2018
Mesures,2020
ElectroniqueS,2015
E marketing,2016
Yahoo! France réf. Yahoo France,2020
Emerce,2017
Yahoo! France réf. Yahoo France,2020
Point Banque,2017
Industrie et Technologies,2017
Centre Presse Vienne,2018
Aujourd'hui en France,2019
Aujourd'hui en France,2018
La Dépêche du MidiAriège,2020
La Dépêche du MidiGÉNÉRAL,2020
La Dépêche du MidiGÉNÉRAL,2020
La Dépêche du MidiToulouse,2020
La Dépêche du MidiAriège,2020
Le Monde,2014
La Tribune,2019
Le Figaro,2017
Aujourd'hui en France,2019
Aujourd'hui en France,2018
Mesures,2020
CLUBIC réf. Clubic,2020
E marketing,2017
E marketing,2015
Aujourd'hui en France,2018
Décision Achats,2018
Sud Ouest,2018
Aujourd'hui en France,2020
Aujourd'hui en France,2019
Le Figaro,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2020
Radio France Internationaleançais site web réf. RFI Radio France Internationale,2020
L'Équipe,2019
Centre Presse Vienne,2019
Yahoo! France réf. Yahoo France,2020
Aujourd'hui en France,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
Collaboratif info réf. Collaboratif info,2020
La Revue du Digital réf. La Revue du Digital,2020
Yahoo! France réf. Yahoo France,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
CLUBIC réf. Clubic,2020
La Nouvelle République du Centre OuestINDRE ET LOIRE,2018
La Revue du Digital réf. La Revue du Digital,2020
Aujourd'hui en France,2018
Le Parisien,2018
Le Parisien,2017
CLUBIC réf. Clubic,2020
Aujourd'hui en France,2018
CLUBIC réf. Clubic,2020
ElectroniqueS,2019
Le Progrès Lyon,2017
La Nouvelle République du Centre OuestDEUX SEVRES,2020
Yahoo! France réf. Yahoo France,2020
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
Yahoo! France réf. Yahoo France,2020
La Revue du Digital réf. La Revue du Digital,2020
Aujourd'hui en France,2018
Boursorama réf. Boursorama,2020
Aujourd'hui en France,2019
Aujourd'hui en France,2020
Aujourd'hui en France,2020
Aujourd'hui en France,2019
Aujourd'hui en France,2019
Nice Matin réf. NiceMatin,2020
Passeport Santé réf. PasseportSanté,2020
Le Progrès Lyon,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
CLUBIC réf. Clubic,2020
Collaboratif info réf. Collaboratif info,2020
Le Figaro,2020
Centre Presse Vienne,2018
CLUBIC réf. Clubic,2020
La Gazette desmunes,2018
Le Figaro,2017
FranceTv Info réf. France TV Info,2020
Mesures,2017
E marketing,2016
Le Figaro,2018
La Revue du Digital réf. La Revue du Digital,2020
FranceTv Info réf. France TV Info,2020
Écrans,2015
CLUBIC réf. Clubic,2020
Le Point,2016
CLUBIC réf. Clubic,2020
FranceTv Info réf. France TV Info,2020
CLUBIC réf. Clubic,2020
Emerce,2017
Sud Ouest,2018
Yahoo! France réf. Yahoo France,2020
E marketing,2016
Yahoo! France réf. Yahoo France,2020
CLUBIC réf. Clubic,2020
La Gazette desmunes,2020
Boursorama réf. Boursorama,2020
Le Figaro,2018
Le Figaro,2018
Yahoo! France réf. Yahoo France,2020
Ouest France,2017
E marketing,2017
Le Parisien,2016
Boursorama réf. Boursorama,2020
CLUBIC réf. Clubic,2020
Point Banque,2016
L'AGEFI,2020
CLUBIC réf. Clubic,2020
Le Figaro,2019
Aujourd'hui en France,2020
Var Matin réf. Varmatin,2020
La Revue du Digital réf. La Revue du Digital,2020
Ouest France,2020
Droit et Patrimoine,2020
l'Humanité,2019
E marketing,2016
Le Figaro,2016
ABC Bourse,2018
Yahoo! Finance France réf. Yahoo! Finance FR,2020
ElectroniqueS,2020
CLUBIC réf. Clubic,2020
Boursorama réf. Boursorama,2020
Reuters général,2013
L'AGEFI,2017
IT for Business,2018
IT for Business,2018
IT for Business,2018
IT for Business,2018
IT for Business,2018
IT for Business,2018
Le Figaro,2018
Sud Ouest,2018
La Gazette desmunes,2019
La Tribune,2020
L'Express,2019
Le Figaro,2018
CLUBIC réf. Clubic,2020
La Provence,2017
Sciences et Avenir,2019
La Revue du Digital réf. La Revue du Digital,2020
Aujourd'hui en France,2019
ElectroniqueS,2019
CLUBIC réf. Clubic,2020
Radio France Internationaleançais site web réf. RFI Radio France Internationale,2020
La Tribune,2017
Boursorama réf. Boursorama,2020
Emerce,2017
Centre Presse Vienne,2019
Le Monde,2018
RSEDataNews réf. RSEDATANEWS,2020
L'AGEFI,2020
ElectroniqueS,2020
Aujourd'hui en France,2019
Le Progrès Lyon,2017
CLUBIC réf. Clubic,2020
ITespresso,2018
Boursorama réf. Boursorama,2020
CLUBIC réf. Clubic,2020
l'Humanité,2016
La Provence,2018
La Revue du Digital réf. La Revue du Digital,2020
La Nouvelle République du Centre Ouest,2019
Aujourd'hui en France,2020
Aujourd'hui en France,2020
Le Figaro,2019
CLUBIC réf. Clubic,2020
L'AGEFI,2016
La Provence,2011
La Revue du Digital réf. La Revue du Digital,2020
L'AGEFI,2019
ABC Bourse,2018
GPO Mag réf. Gpo,2020
Nice Matin réf. NiceMatin,2020
Midi Libre,2016
ElectroniqueS,2019
ElectroniqueS,2020
L'Usine Nouvelle,2017
CLUBIC réf. Clubic,2020
Stratégies – Le 13H,2020
L'AGEFI,2020
La Nouvelle République du Centre OuestINDRE ET LOIRE,2020
Yahoo! France réf. Yahoo France,2020
ElectroniqueS,2018
CLUBIC réf. Clubic,2020
Yahoo! France réf. Yahoo France,2020
TV Mag,2013
CLUBIC réf. Clubic,2020
L'AGEFI,2020
Point Banque,2017
L'AGEFI,2019
Yahoo! Finance France réf. Yahoo! Finance FR,2020
CLUBIC réf. Clubic,2020
ElectroniqueS,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
TecHopital réf. TecHopital,2020
Le Figaro,2018
Europe 1,2016
Le Journal des téls,2016
www.huffingtonpost,2017
E marketing,2016
E marketing,2016
Actu réf. Actu FR,2020
Aujourd'hui en France,2020
Le Parisien,2020
CLUBIC réf. Clubic,2020
l'Humanité,2017
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
Aujourd'hui en France,2019
Var Matin réf. Varmatin,2020
Aujourd'hui en France,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
Aujourd'hui en France,2018
Yahoo! France réf. Yahoo France,2020
FranceTv Info réf. France TV Info,2020
Yahoo! Finance France réf. Yahoo! Finance FR,2020
CLUBIC réf. Clubic,2020
FranceTv Info réf. France TV Info,2020
Boursorama réf. Boursorama,2020
ElectroniqueS,2017
Actu réf. Actu FR,2020
FranceTv Info réf. France TV Info,2020
Mer et Marine,2017
Boursorama réf. Boursorama,2020
CLUBIC réf. Clubic,2020
L'Usine Nouvelle,2012
Industrie et Technologies,2017
Point Banque,2017
ElectroniqueS,2020
Yahoo! France réf. Yahoo France,2020
Aujourd'hui en France,2018
Relation Client,2018
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
Les Echos,2020
ITespresso,2019
Les Echos,2019
Les Echos,2019
Les Echos,2020
La Vie,2018
Les Echos,2018
Les Echos,2019
Les Echos,2017
Industrie et Technologies,2017
Les Echos,2017
Les Echos,2018
Les Echos,2018
Les Echos,2018
France Football,2016
L'Usine Nouvelle,2018
Ouest France,2018
Les Echos,2018
Les Echos,2019
Les Echos,2018
Le Figaro,2017
Ouest France,2016
Les Echos,2018
Ouest France,2018
Les Echos,2018
Les Echos,2018
Ouest France,2018
Ouest France,2019
Ouest France,2018
Les Echos,2019
Silicon,2019
ElectroniqueS,2020
Les Echos,2019
Point Banque,2014
Télérama,2016
Le Courrier de l'Ouest,2020
Industrie et Technologies,2014
Les Echos,2018
Le Figaro,2019
Le Figaro,2019
Ouest France,2016
Ouest France,2020
Les Echos,2017
Les Echos,2017
La Tribune,2018
L'Équipe magazine,2020
La Vie,2017
Les Echos,2019
Les Echos,2018
Les Echos,2018
Les Echos,2018
Les Echos,2020
Ouest France,2020
Rue89,2016
Ouest France,2020
Ouest France,2019
Ouest France,2019
Ouest France,2020
Ouest France,2018
CLUBIC réf. Clubic,2020
CLUBIC réf. Clubic,2020
La Tribune,2020
Ouest France,2018
Le Figaro,2020
ElectroniqueS,2020
Radio France Internationaleançais site web réf. RFI Radio France Internationale,2020
E marketing,2016
Boursorama réf. Boursorama,2020
Mesures,2020
Mesures,2019
Mesures,2018
Mesures,2019
Mesures,2020
Mesures,2020
Mesures,2019
Mesures,2020
JournalAuto,2018
Sciences et Avenir,2020
Mesures,2018
ElectroniqueS,2019
ElectroniqueS,2019
La Croix,2016
Reuters général,2018
L'Indépendant,2020
L'Indépendant,2019
L'Indépendant,2020
L'Indépendant,2018
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2020
L'Indépendant,2020
Agence Option Finance AOF,2019
Agence Option Finance AOF,2018
Agence Option Finance AOF,2019
Agence Option Finance AOF,2019
Agence Option Finance AOF,2019
Agence Option Finance AOF,2020
Agence Option Finance AOF,2019
Agence Option Finance AOF,2020
Agence Option Finance AOF,2017
Agence Option Finance AOF,2019
Agence Option Finance AOF,2019
Agence Option Finance AOF,2019
Agence Option Finance AOF,2017
Agence Option Finance AOF,2014
Agence Option Finance AOF,2018
Agence Option Finance AOF,2016
Agence Option Finance AOF,2019
Agence Option Finance AOF,2018
Agence Option Finance AOF,2020
Agence Option Finance AOF,2019
Agence Option Finance AOF,2017
Agence Option Finance AOF,2018
Agence Option Finance AOF,2018
Agence Option Finance AOF,2018
Agence Option Finance AOF,2018
Agence Option Finance AOF,2018
Agence Option Finance AOF,2019
Agence Option Finance AOF,2018
Agence Option Finance AOF,2017
Agence Option Finance AOF,2020
Agence Option Finance AOF,2017
Agence Option Finance AOF,2017
JournalAuto,2017
Reuters économique,2018
Courrier international,2012
Courrier international,2014
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
L'Indépendant,2020
L'Indépendant,2020
L'Indépendant,2020
La Vie Immo,2011
La Vie Immo,2018
Courrier international,2011
Courrier international,2014
Courrier international,2014
Le Télégramme Bretagne,2019
Le Monde,2017
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2020
L'Indépendant,2018
Le Journal du Centre,2012
L'Indépendant,2018
Courrier international,2014
Le Figaro,2018
ElectroniqueS,2018
Reuters économique,2018
Reuters général,2018
Reuters économique,2018
Reuters économique,2018
Reuters économique,2019
Les Echos,2017
Libération,2019
Libération,2019
Le Figaro Magazine,2018
Atlantico,2019
La Voix du NordLens Liévin,2018
L'Est Républicain,2016
L'AGEFI,2020
La Tribune,2014
Banques Hebdo,2019
L'Usine Nouvelle,2018
L'Usine Nouvelle,2018
La Lettre d'écoNormandieToutes éditions,2019
Le Figaro,2020
Stratégies,2019
Télérama,2016
Le Progrès Lyon,2019
Option Finance,2019
Option Finance,2019
Option Finance,2016
La Tribune,2018
Les Echos,2018
Les Echos,2018
Libération,2018
La Tribune,2018
L'Obs,2017
Sud Ouest,2019
La Tribune,2016
Sciences et Avenir,2020
La Tribune,2017
Le Télégramme Bretagne,2018
Le Télégramme BretagneLORIENT,2018
Le Monde,2017
Les Echos,2018
Les Echos,2018
Option Finance,2017
Option Finance,2018
Courrier international,2018
IT for Business,2018
La Correspondance de la Publicité,2020
IT for Business,2020
Les Echos,2019
La Tribune,2013
Les Echos,2018
Les Echos,2017
Le Monde,2017
Option Finance,2018
Option Finance,2017
Le Monde,2016
01 net,2020
Reuters économique,2019
Reuters économique,2017
Option Finance,2019
La Vie,2018
Le Monde,2016
La Dépêche du MidiLot,2019
DAF Mag,2019
Science et Vie,2020
Aujourd'hui en FranceEdition Principale,2017
La Tribune,2019
Le Journal des entreprises,2014
Le Monde,2013
Le Télégramme Bretagne,2014
Technologies Bancaires,2017
HuffPost France,2018
IT for Business,2018
La Dépêche du MidiTarn,2020
Silicon,2020
La Tribune,2020
Les Echos,2018
Option Finance,2019
Libération,2018
Option Finance,2019
LSA,2018
La Tribune,2019
Reuters général,2014
Option Finance,2016
Le Journal du Net JDN,2019
L'Obs,2017
L'Obs,2017
Option Finance,2017
Le Journal du Net JDN,2019
La Correspondance de la Publicité,2018
Le Journal du Net JDN,2020
La Dépêche du MidiToulouse,2019
La Dépêche du MidiToulouse,2018
IT for Business,2018
Ouest France,2018
Le Quotidien du Médecin,2018
Cercle Finance,2020
Relation Client,2020
DAF Mag,2019
Libération,2014
ElectroniqueS,2019
L'Usine Nouvelle,2019
DAF Mag,2019
Les Echos,2018
Nous Deux,2020
L'Usine Nouvelle,2018
Le Bien Public,2019
La Correspondance de la Publicité,2018
La Tribune,2019
La Tribune,2018
La Correspondance de la Publicité,2019
Silicon,2020
mind Health,2019
Le Journal de Saône et LoireCreusot Autun,2019
Le Figaro,2016
L'Obs,2015
La Revue des Collectivités locales,2020
Marketing France,2017
La Correspondance de la Publicité,2018
Reuters général,2019
La Correspondance de la Publicité,2019
La Correspondance de la Publicité,2017
Action Co,2020
E marketing,2020
Relation Client,2020
Emerce,2018
L'Obs,2018
Le Quotidien du Médecin,2019
IT for Business,2018
Le Monde,2016
ToulÉco,2018
ToulÉco,2018
ToulÉco,2018
ToulÉco,2019
ToulÉco,2018
ToulÉco,2018
ToulÉco,2019
ToulÉco,2017
ToulÉco,2018
ToulÉco,2019
ToulÉco,2018
ToulÉco,2019
ToulÉco,2018
ToulÉco,2018
ToulÉco,2019
ToulÉco,2019
ToulÉco,2019
ToulÉco,2019
ToulÉco,2019
Relation Client,2016
Marketing France,2018
Marketing France,2018
Marketing France,2018
Le Figaro,2018
TOM,2020
Les Echos,2019
L'Express,2017
La Tribune,2018
Le Journal du Net JDN,2019
La Tribune,2019
La Tribune,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
News Assurances Pro,2020
News Assurances Pro,2020
News Assurances Pro,2019
News Assurances Pro,2020
News Assurances Pro,2017
Challenges,2018
Paris Match,2020
Les Echos,2017
Les Echos,2019
Les Echos,2019
Challenges,2019
Industrie et Technologies,2018
mind Media,2019
Libération,2018
Les Echos,2020
Les Echos,2020
Les Echos,2019
Option Finance,2020
Les Echos,2018
La Tribune,2020
Le Monde,2016
Le Monde,2016
Le Monde,2016
La Matinale du Monde,2016
L'Usine Nouvelle,2019
Silicon,2018
Banques Hebdo,2019
Le Monde,2019
La Tribune,2020
Le Monde,2016
Silicon,2019
Les Echos,2019
La Dépêche du MidiSud Est,2019
Libération,2017
L'Usine Nouvelle,2014
Libération,2019
L'Usine Nouvelle,2018
L'Usine Nouvelle,2018
Les Echos,2019
JournalAuto,2019
La Tribune,2014
Silicon,2018
Le Maine LibreGrand Mans; Haute Sarthe,2018
L'Usine Nouvelle,2018
L'Usine Nouvelle,2018
Industrie et Technologies,2019
L'Usine Nouvelle,2018
mind Fintech,2018
Boursier,2019
ElectroniqueS,2019
Boursier,2017
Relation Client,2019
L'Usine Nouvelle,2020
L'Usine Nouvelle,2019
Sud Ouest,2019
Sciences et Avenir,2019
L'Usine Nouvelle,2018
Boursier,2019
Silicon,2018
L'Usine Nouvelle,2018
IT for Business,2018
L'Usine Nouvelle,2017
LSA,2018
L'Usine Nouvelle,2018
L'Usine Nouvelle,2020
L'Usine Nouvelle,2018
L'Usine Nouvelle,2017
Industrie et Technologies,2016
L'Usine Nouvelle,2019
LSA,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2017
ElectroniqueS,2019
L'Usine Nouvelle,2018
Le Figaro,2017
TOM,2019
L'Usine Nouvelle,2019
Industrie et Technologies,2020
M Le Magazine du Monde,2018
Les Echos,2017
Option Finance,2017
Option Finance,2019
L'Usine Nouvelle,2018
Les Echos,2018
Science et Vie,2020
L'Usine Nouvelle,2020
Le Monde,2019
Libération,2019
Atlantico,2018
La Correspondance de la Publicité,2018
La Correspondance de la Publicité,2020
L'Usine Nouvelle,2017
L'Usine Nouvelle,2015
Sciences et Avenir,2017
Challenges,2018
Atlantico,2018
ElectroniqueS,2019
Les Echos,2014
La Tribune,2019
L'Usine Nouvelle,2016
L'Usine Nouvelle,2020
Le Point,2019
Le Monde,2016
IT for Business,2018
La Tribune,2019
Les Echos,2020
Courrier international,2016
Télérama,2016
IT for Business,2018
L'Express,2018
Les Echos,2017
IT for Business,2017
IT for Business,2018
Le Journal du Net JDN,2020
La Recherche,2018
L'Usine Nouvelle,2016
La Montagne,2017
Systèmes de paiement,2018
ElectroniqueS,2019
IT for Business,2017
Les Echos,2018
Sécurité Informatique,2017
L'AGEFI,2018
Libération,2017
Industrie et Technologies,2017
Les Echos,2020
L'intern@ute,2020
La Dépêche du MidiComminges ; Toulouse,2015
L'Obs,2018
Le Point,2016
Sud Ouest,2012
Sud Ouest,2012
Sud Ouest,2013
Le Monde,2016
Libération,2019
Mer et Marine,2017
Cercle Finance,2020
Salles Propres,2020
E marketing,2017
E marketing,2017
L'Usine Nouvelle,2018
Business Immo,2018
Air et Cosmos,2019
Cercle Finance,2020
IT for Business,2016
IT for Business,2018
IT for Business,2018
Le Télégramme Bretagne,2019
AFP Infos Françaises,2019
E marketing,2017
E marketing,2017
E marketing,2017
E marketing,2017
Chef d'Entreprise,2017
E marketing,2017
Artisans,2017
Emerce,2017
E marketing,2017
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2017
E marketing,2017
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2017
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
Emerce,2018
E marketing,2017
E marketing,2018
Emerce,2018
Emerce,2018
Emerce,2018
Emerce,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
E marketing,2018
Les Echos,2017
NewsPressançais,2018
Investir,2019
Libération,2019
Les Echos,2017
Sport Stratégies,2020
Boursier,2017
La Tribune,2018
Le Parisien,2017
20 Minutes,2019
Ouest France,2020
Challenges,2019
IT for Business,2017
Challenges,2018
Le Monde,2017
La Lettre des juristes d'affaires Hebdo,2011
Le Monde,2017
E marketing,2018
ElectroniqueS,2019
L'Usine Nouvelle,2017
Silicon,2019
Paris Normandie,2016
Action Co,2017
Industrie et Technologies,2015
La Croix,2017
Ouest France,2018
Ouest France,2019
Systèmes de paiement,2019
Le Point,2019
Droit et patrimoine,2019
Le Journal de Saône et LoireBresse,2017
Mind,2018
L'Argus de l'assurance,2019
Déplacements Pros,2020
L'AGEFI,2020
IT for Business,2018
RiskAssur,2019
L'AGEFI,2017
LSA,2018
Stratégie,2018
mind Fintech,2019
mind Health,2019
La Croix,2017
Les Echos,2017
Le Figaro,2019
Midi Libre,2018
L'Usine Nouvelle,2019
Sciences et Avenir,2019
L'Est Républicain,2016
Cercle Finance,2019
Boursier,2020
20 Minutes,2019
Les Echos,2020
Les Echos,2017
IT for Business,2018
La Provence,2018
La Nouvelle République des PyrénéesTarbes,2018
Les Echos,2018
L'Usine Nouvelle,2020
Cercle Finance,2020
Stratégies,2019
Midi Libre,2019
Télérama,2016
La Correspondance de la Publicité,2019
Les Echos,2018
Ouest France,2019
L'Expansion,2016
Le Monde,2018
Le Monde,2020
Libération,2015
Sud Ouest,2020
Sud Ouest,2019
RiskAssur hebdo,2017
Les Echos,2018
La Dépêche du MidiTarn Castres,2019
20 Minutes,2019
20 Minutes,2016
Science et Vie Junior,2012
Décision Achats,2018
Le Figaro,2017
L'Obs,2018
l'Humanité,2014
Le Quotidien du Médecin,2020
Midi Libre,2020
Le Figaro,2015
Presse Océan,2019
La Dépêche du MidiTarn Albi,2020
La Dépêche du MidiTarn Castres,2020
La Tribune,2019
Les Echos,2017
La Dépêche du MidiTarn,2020
La Dépêche du MidiTarn Castres ; Tarn Albi,2018
La Dépêche du MidiTarn Albi,2018
La Dépêche du MidiTarn Castres ; Tarn Albi,2018
20 Minutes,2019
20 Minutes,2020
La Dépêche du MidiTarn Albi,2019
20 Minutes,2020
La Dépêche du MidiTarn Castres ; Tarn Albi,2015
Le Point,2019
Sciences et Avenir,2016
Sciences et Avenir,2020
Sciences et Avenir,2020
L'Usine Nouvelle,2019
Silicon,2019
mind Health,2020
L'Usine Nouvelle,2020
Emerce,2018
Stratégies,2016
L'AGEFI,2017
L'Argus de l'assurance,2017
La Correspondance de la Publicité,2017
mind Fintech,2018
Banques Hebdo,2018
Financement des Particuliers,2018
La Provence,2018
Stratégie,2019
La Correspondance de la Presse,2020
Relation Client,2017
Le Télégramme Bretagne,2020
Les Echos,2018
Les Echos,2019
La Tribune,2020
Le Quotidien du Médecin,2018
Mind,2017
La Tribune,2016
L'AGEFI,2017
Le Monde,2018
Assurances des Particuliers,2017
Sciences et Avenir,2019
L'Usine Nouvelle,2019
mind Health,2018
Le Monde,2018
Relation Client,2019
Emerce,2020
L'Usine Nouvelle,2018
ToulÉco,2019
ToulÉco,2019
Industrie et Technologies,2015
La Tribune,2019
Le Point,2016
IT for Business,2017
La Tribune,2018
mind Fintech,2020
Le Journal du Net JDN,2020
L'Usine Nouvelle,2020
L'Argus de l'assurance,2018
Revue Lamy Droit des affaires,2019
L'Usine Nouvelle,2018
Les Echos,2018
Courrier International,2018
Les Echos,2018
La Tribune,2017
Le Point,2017
L'Usine Nouvelle,2018
Intelligence Online Éditionançaise,2017
Revue Lamy Droit de l'immatériel,2018
L'Usine Nouvelle,2015
E Commerce,2018
Le Figaro,2020
L'Usine Nouvelle,2017
La Lettre de l'audiovisuel,2020
Boursier,2017
Banques Hebdo,2018
Challenges,2018
Les Echos,2016
